"","FIPS","City","Year","Population","longitude","latitude","Date","MSA","microMSA"
"5403",1918255,"Dallas Center","July 01 2015",1699,-93.9816407,41.6854114,"7/1/15","",""
"5404",1979905,"Urbana",NA,1698.979089,NA,NA,"7/1/20","",""
"5405",1963750,"Pleasantville","July 01 2018",1698,-93.272777,41.3864748,"7/1/18","",""
"5406",1954480,"Mount Ayr","July 01 1997",1698,-94.2376587,40.7141372,"7/1/97","",""
"5407",1950790,"Mediapolis","July 01 1998",1697,-91.1637445,41.0078886,"7/1/98","",""
"5408",1922980,"Durant","July 01 2008",1697,-90.9119451,41.6014845,"7/1/08","",""
"5409",1900190,"Ackley","July 01 1992",1697,-93.0527656,42.5518776,"7/1/92","",""
"5410",1966405,"Remsen","July 01 2003",1697,-95.9724007,42.8148253,"7/1/03","",""
"5411",1964470,"Prairie City","July 01 2015",1697,-93.2391586,41.5952729,"7/1/15","",""
"5412",1934725,"Hartley","July 01 2001",1697,-95.4767498,43.1790472,"7/1/01","",""
